Accession,Description,GeneName,Peptides.DMSO,PSMs.DMSO,AAs.DMSO,MW.kDA.DMSO,pI.DMSO,QuantifyingPSMs.DMSO,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
Q6P3W7,SCY1-like protein 2 OS=Homo sapiens GN=SCYL2 PE=1 SV=1,SCYL2,11,27,929,103.642,8.22,11,0.993,1.071,0.997,0.863,0.706,0.461,0.181,0.102,0.056,0.040
Q6P3X3,Tetratricopeptide repeat protein 27 OS=Homo sapiens GN=TTC27 PE=1 SV=1,TTC27,16,50,843,96.571,5.59,20,0.993,0.966,0.847,0.604,0.435,0.283,0.190,0.129,0.112,0.101
Q6P4A8,Phospholipase B-like 1 OS=Homo sapiens GN=PLBD1 PE=1 SV=2,PLBD1,3,6,553,63.214,9.06,3,0.993,1.031,0.955,0.839,0.738,0.540,0.486,0.396,0.298,0.227
Q6P4I2,WD repeat-containing protein 73 OS=Homo sapiens GN=WDR73 PE=1 SV=1,WDR73,9,26,378,41.659,5.78,9,0.993,0.933,0.984,0.934,0.778,0.563,0.479,0.286,0.159,0.098
Q6P4R8,Isoform 2 of Nuclear factor related to kappa-B-binding protein OS=Homo sapiens GN=NFRKB,NFRKB,3,6,1324,141.773,9.03,3,0.993,1.155,0.626,0.424,0.304,0.235,0.090,0.084,0.059,0.058
Q6P6C2,RNA demethylase ALKBH5 OS=Homo sapiens GN=ALKBH5 PE=1 SV=2,ALKBH5,5,12,394,44.229,9.09,5,0.993,0.979,0.887,0.749,0.565,0.421,0.355,0.280,0.221,0.195
Q6P9B6,TLD domain-containing protein KIAA1609 OS=Homo sapiens GN=KIAA1609 PE=1 SV=2,KIAA1609,3,8,456,50.961,6.24,3,0.993,0.974,0.941,0.841,0.612,0.363,0.201,0.126,0.091,0.092
Q6PCB5,Round spermatid basic protein 1-like protein OS=Homo sapiens GN=RSBN1L PE=1 SV=2,RSBN1L,7,13,846,94.81,8.78,5,0.993,0.985,0.927,0.876,0.734,0.538,0.383,0.244,0.184,0.094
Q6PCT2,F-box/LRR-repeat protein 19 OS=Homo sapiens GN=FBXL19 PE=1 SV=3,FBXL19,1,2,694,75.659,9.17,1,0.993,0.999,0.779,0.480,0.358,0.236,0.185,0.156,0.134,0.116
Q6PD62,RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens GN=CTR9 PE=1 SV=1,CTR9,14,29,1173,133.42,6.77,9,0.993,0.922,0.757,0.340,0.197,0.102,0.082,0.047,0.029,0.031
Q6PD74,Alpha- and gamma-adaptin-binding protein p34 OS=Homo sapiens GN=AAGAB PE=1 SV=1,AAGAB,3,6,315,34.572,4.64,3,0.993,0.924,0.864,0.614,0.433,0.248,0.195,0.125,0.105,0.072
Q6PH81,UPF0547 protein C16orf87 OS=Homo sapiens GN=C16orf87 PE=2 SV=1,C16orf87,1,2,154,17.788,10.07,1,0.993,1.203,0.894,0.691,0.490,0.496,0.344,0.318,0.302,0.230
Q6PI48,"Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens GN=DARS2 PE=1 SV=1",DARS2,22,100,645,73.516,8.02,29,0.993,0.973,0.976,0.928,0.893,0.731,0.665,0.467,0.289,0.124
Q6PID6,Tetratricopeptide repeat protein 33 OS=Homo sapiens GN=TTC33 PE=1 SV=2,TTC33,2,4,262,29.393,5.44,2,0.993,1.029,0.918,0.706,0.482,0.373,0.196,0.187,0.126,0.119
Q6PIJ6,F-box only protein 38 OS=Homo sapiens GN=FBXO38 PE=1 SV=3,FBXO38,1,2,1188,133.858,6.33,1,0.993,0.935,0.951,0.739,0.547,0.265,0.150,0.130,0.115,0.038
Q6PJ69,Tripartite motif-containing protein 65 OS=Homo sapiens GN=TRIM65 PE=1 SV=3,TRIM65,4,12,517,57.317,6.7,4,0.993,0.931,0.758,0.487,0.386,0.286,0.203,0.177,0.116,0.113
Q6PJG6,BRCA1-associated ATM activator 1 OS=Homo sapiens GN=BRAT1 PE=1 SV=2,BRAT1,7,18,821,88.063,5.27,6,0.993,0.907,0.707,0.501,0.351,0.169,0.103,0.043,0.028,0.043
Q6PJI9,WD repeat-containing protein 59 OS=Homo sapiens GN=WDR59 PE=1 SV=2,WDR59,5,11,974,109.724,7.91,6,0.993,0.993,0.820,0.801,0.605,0.430,0.340,0.240,0.217,0.133
Q6PJT7,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens GN=ZC3H14 PE=1 SV=1,ZC3H14,12,35,736,82.823,7.31,15,0.993,0.961,0.966,0.911,0.734,0.493,0.370,0.292,0.197,0.142
Q6PKC0,GMP reductase OS=Homo sapiens GN=GMPR2 PE=2 SV=1,GMPR2,7,23,409,44.979,8.34,7,0.993,0.935,1.003,0.928,0.847,0.614,0.619,0.584,0.449,0.372
Q6PKG0,La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2,LARP1,22,58,1096,123.434,8.82,19,0.993,0.928,0.870,0.748,0.505,0.338,0.209,0.146,0.132,0.111
Q6PL24,Protein TMED8 OS=Homo sapiens GN=TMED8 PE=1 SV=1,TMED8,3,8,325,35.718,4.74,3,0.993,0.995,0.970,0.738,0.443,0.261,0.133,0.088,0.037,0.051
Q6QNY0,Biogenesis of lysosome-related organelles complex 1 subunit 3 OS=Homo sapiens GN=BLOC1S3 PE=1 SV=1,BLOC1S3,6,14,202,21.243,5.15,5,0.993,0.977,0.922,0.821,0.733,0.613,0.490,0.371,0.258,0.221
Q6QNY1,Biogenesis of lysosome-related organelles complex 1 subunit 2 OS=Homo sapiens GN=BLOC1S2 PE=1 SV=1,BLOC1S2,7,18,142,15.951,4.86,6,0.993,0.928,0.893,0.808,0.691,0.511,0.349,0.206,0.125,0.092
Q6RFH5,WD repeat-containing protein 74 OS=Homo sapiens GN=WDR74 PE=1 SV=1,WDR74,4,8,385,42.415,8.32,3,0.993,1.065,0.886,0.885,0.605,0.434,0.286,0.235,0.184,0.119
Q6UB28,"Methionine aminopeptidase 1D, mitochondrial OS=Homo sapiens GN=METAP1D PE=1 SV=1",METAP1D,1,4,335,37.065,6.84,2,0.993,1.034,0.955,0.962,0.726,0.523,0.293,0.185,0.158,0.130
Q6UB35,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1",MTHFD1L,31,115,978,105.724,8.06,46,0.993,0.964,0.930,0.899,0.817,0.547,0.311,0.112,0.066,0.050
Q6ULP2,Aftiphilin OS=Homo sapiens GN=AFTPH PE=1 SV=2,AFTPH,7,18,937,102.137,4.54,7,0.993,0.967,0.986,0.891,0.642,0.369,0.310,0.207,0.166,0.098
Q6UN15,Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens GN=FIP1L1 PE=1 SV=1,FIP1L1,10,41,594,66.487,5.59,16,0.993,0.950,0.837,0.639,0.553,0.434,0.433,0.400,0.341,0.323
Q6UVJ0,Spindle assembly abnormal protein 6 homolog OS=Homo sapiens GN=SASS6 PE=1 SV=1,SASS6,3,6,657,74.351,7.55,3,0.993,1.038,0.832,0.758,0.646,0.730,0.518,0.408,0.217,0.151
Q6UW63,KDEL motif-containing protein 1 OS=Homo sapiens GN=KDELC1 PE=1 SV=1,KDELC1,6,12,502,58.005,7.71,4,0.993,0.968,0.911,0.773,0.505,0.289,0.248,0.202,0.181,0.134
Q6UWE0,E3 ubiquitin-protein ligase LRSAM1 OS=Homo sapiens GN=LRSAM1 PE=1 SV=1,LRSAM1,5,14,723,83.541,5.94,5,0.993,0.958,0.947,0.872,0.630,0.328,0.216,0.117,0.149,0.096
Q6UWP2,Dehydrogenase/reductase SDR family member 11 OS=Homo sapiens GN=DHRS11 PE=1 SV=1,DHRS11,11,44,260,28.29,6.64,19,0.993,0.983,0.981,0.985,0.926,0.667,0.479,0.151,0.093,0.065
Q6UWZ7,BRCA1-A complex subunit Abraxas OS=Homo sapiens GN=FAM175A PE=1 SV=2,FAM175A,1,2,409,46.633,7.05,1,0.993,1.017,0.912,0.886,0.723,0.526,0.531,0.398,0.208,0.111
Q6UXH1,Isoform 5 of Cysteine-rich with EGF-like domain protein 2 OS=Homo sapiens GN=CRELD2,CRELD2,6,18,402,43.549,4.79,8,0.993,0.915,0.894,0.787,0.723,0.569,0.518,0.390,0.319,0.264
Q6UXK2,Immunoglobulin superfamily containing leucine-rich repeat protein 2 OS=Homo sapiens GN=ISLR2 PE=2 SV=1,ISLR2,1,2,745,78.941,5.29,1,0.993,0.954,0.865,0.867,0.667,0.490,0.428,0.340,0.266,0.177
Q6UXN9,WD repeat-containing protein 82 OS=Homo sapiens GN=WDR82 PE=1 SV=1,WDR82,8,28,313,35.056,7.69,13,0.993,0.941,0.970,0.862,0.710,0.469,0.366,0.222,0.143,0.097
Q6VY07,Isoform 2 of Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens GN=PACS1,PACS1,7,15,1008,109.274,7.36,6,0.993,0.993,0.935,0.860,0.624,0.379,0.236,0.152,0.133,0.104
Q6W2J9,BCL-6 corepressor OS=Homo sapiens GN=BCOR PE=1 SV=1,BCOR,3,8,1755,192.069,6.48,4,0.993,0.840,0.686,0.632,0.299,0.261,0.138,0.109,0.133,0.094
Q6WKZ4,Rab11 family-interacting protein 1 OS=Homo sapiens GN=RAB11FIP1 PE=1 SV=3,RAB11FIP1,11,31,1283,137.083,5.43,14,0.993,0.951,0.942,0.890,0.658,0.383,0.248,0.154,0.138,0.083
Q6XQN6,Nicotinate phosphoribosyltransferase OS=Homo sapiens GN=NAPRT1 PE=1 SV=2,NAPRT1,7,25,538,57.542,5.68,11,0.993,1.095,0.931,0.839,0.649,0.597,0.469,0.398,0.304,0.198
Q6XUX3,Dual serine/threonine and tyrosine protein kinase OS=Homo sapiens GN=DSTYK PE=1 SV=2,DSTYK,2,4,929,105.139,6.74,2,0.993,0.936,0.923,0.933,0.710,0.444,0.289,0.185,0.156,0.091
Q6Y1H2,Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 2 OS=Homo sapiens GN=PTPLB PE=1 SV=1,PTPLB,1,1,254,28.35,9.55,1,0.993,0.910,0.906,0.851,0.583,0.378,0.343,0.244,0.204,0.164
Q6Y7W6,PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1,GIGYF2,25,76,1299,149.978,5.54,34,0.993,1.020,0.855,0.676,0.440,0.328,0.174,0.140,0.100,0.086
Q6YHU6,Thyroid adenoma-associated protein OS=Homo sapiens GN=THADA PE=1 SV=1,THADA,5,10,1953,219.465,6.06,5,0.993,0.966,0.927,0.806,0.472,0.316,0.147,0.103,0.076,0.078
Q6YN16,Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens GN=HSDL2 PE=1 SV=1,HSDL2,11,37,418,45.366,7.99,18,0.993,0.921,0.958,0.786,0.512,0.278,0.128,0.086,0.064,0.070
Q6YP21,Kynurenine--oxoglutarate transaminase 3 OS=Homo sapiens GN=CCBL2 PE=1 SV=1,CCBL2,25,98,454,51.368,8.19,30,0.993,0.938,0.991,0.949,0.914,0.671,0.661,0.528,0.437,0.288
Q6ZN04,RNA-binding protein MEX3B OS=Homo sapiens GN=MEX3B PE=1 SV=1,MEX3B,2,4,569,58.796,6.9,2,0.993,1.022,0.875,0.784,0.531,0.369,0.169,0.128,0.101,0.062
Q6ZN17,Protein lin-28 homolog B OS=Homo sapiens GN=LIN28B PE=1 SV=1,LIN28B,13,59,250,27.066,8.91,22,0.993,0.984,0.952,0.877,0.640,0.458,0.305,0.228,0.157,0.146
Q6ZN55,Isoform 2 of Zinc finger protein 574 OS=Homo sapiens GN=ZNF574,ZNF574,1,2,985,108.504,8.41,1,0.993,0.805,0.604,0.447,0.332,0.183,0.109,0.080,0.082,0.076
Q6ZR64,HBV PreS1-transactivated protein 1 OS=Homo sapiens GN=MXRA7 PE=2 SV=1,MXRA7,3,6,213,23.397,6.52,3,0.993,0.994,0.895,0.825,0.684,0.579,0.484,0.507,0.391,0.234
Q6ZRS2,Helicase SRCAP OS=Homo sapiens GN=SRCAP PE=1 SV=3,SRCAP,3,6,3230,343.343,5.96,3,0.993,0.967,0.836,0.632,0.427,0.261,0.174,0.126,0.094,0.086
Q6ZRV2,Protein FAM83H OS=Homo sapiens GN=FAM83H PE=1 SV=3,FAM83H,1,2,1179,127.044,6.98,1,0.993,0.689,0.521,0.577,0.355,0.117,0.026,0.047,0.022,0.043
Q6ZSJ8,Uncharacterized protein C1orf122 OS=Homo sapiens GN=C1orf122 PE=2 SV=2,C1orf122,2,6,110,11.464,6.73,3,0.993,0.993,0.988,0.973,0.799,0.619,0.455,0.324,0.259,0.206
Q6ZSS3,Zinc finger protein 621 OS=Homo sapiens GN=ZNF621 PE=2 SV=1,ZNF621,2,4,439,49.173,8.94,2,0.993,0.986,1.259,1.026,0.879,0.835,0.520,0.534,0.494,0.293
Q6ZSZ5,Rho guanine nucleotide exchange factor 18 OS=Homo sapiens GN=ARHGEF18 PE=1 SV=3,ARHGEF18,2,4,1173,130.7,7.08,2,0.993,0.820,0.855,0.527,0.326,0.200,0.148,0.148,0.067,0.050
Q6ZT12,Isoform 4 of E3 ubiquitin-protein ligase UBR3 OS=Homo sapiens GN=UBR3,UBR3,8,20,1917,215.831,6.2,8,0.993,0.864,0.728,0.351,0.155,0.050,0.009,0.001,0.001,0.019
Q6ZT62,SH3 domain-binding protein 1 OS=Homo sapiens GN=SH3BP1 PE=2 SV=1,SH3BP1,12,15,605,66.138,5.16,10,0.993,0.987,0.967,0.849,0.675,0.415,0.175,0.116,0.082,0.071
Q6ZW49,PAX-interacting protein 1 OS=Homo sapiens GN=PAXIP1 PE=1 SV=2,PAXIP1,2,4,1069,121.265,6.7,2,0.993,1.039,0.758,0.494,0.340,0.267,0.060,0.080,0.060,0.042
Q6ZWJ1,Syntaxin-binding protein 4 OS=Homo sapiens GN=STXBP4 PE=1 SV=2,STXBP4,1,2,553,61.623,5.2,1,0.993,0.946,0.675,0.434,0.272,0.159,0.081,0.046,0.036,0.057
Q6ZWT7,Lysophospholipid acyltransferase 2 OS=Homo sapiens GN=MBOAT2 PE=2 SV=2,MBOAT2,1,2,520,59.488,8.03,1,0.993,0.876,1.064,0.834,0.707,0.519,0.428,0.375,0.277,0.153
Q709C8,Vacuolar protein sorting-associated protein 13C OS=Homo sapiens GN=VPS13C PE=1 SV=1,VPS13C,4,8,3753,422.124,6.83,4,0.993,1.158,0.962,0.900,0.713,0.548,0.284,0.185,0.169,0.130
Q70CQ2,Ubiquitin carboxyl-terminal hydrolase 34 OS=Homo sapiens GN=USP34 PE=1 SV=2,USP34,7,15,3546,403.973,5.82,7,0.993,0.982,0.888,0.709,0.506,0.342,0.219,0.133,0.122,0.118
Q70J99,Isoform 3 of Protein unc-13 homolog D OS=Homo sapiens GN=UNC13D,UNC13D,6,14,1142,128.739,6.62,7,0.993,0.946,0.796,0.599,0.422,0.275,0.155,0.118,0.100,0.073
Q70Z53,Protein FRA10AC1 OS=Homo sapiens GN=FRA10AC1 PE=1 SV=3,FRA10AC1,4,10,315,37.525,8.1,5,0.993,0.994,0.907,0.619,0.389,0.260,0.167,0.132,0.096,0.086
Q711Q0,Uncharacterized protein C10orf71 OS=Homo sapiens GN=C10orf71 PE=2 SV=2,C10orf71,2,4,1435,156.38,6.38,1,0.993,0.957,0.938,0.824,0.754,0.540,0.492,0.415,0.326,0.196
Q71RC2,Isoform 4 of La-related protein 4 OS=Homo sapiens GN=LARP4,LARP4,12,48,730,81.193,6.61,12,0.993,0.947,0.920,0.785,0.512,0.314,0.288,0.218,0.215,0.118
Q71SY5,Isoform 3 of Mediator of RNA polymerase II transcription subunit 25 OS=Homo sapiens GN=MED25,MED25,2,4,796,82.92,8.84,2,0.993,0.917,0.813,0.636,0.516,0.259,0.166,0.057,0.041,0.041
Q71U36,Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1,TUBA1A,27,712,451,50.104,5.06,117,0.993,0.957,0.907,0.793,0.675,0.479,0.382,0.226,0.085,0.046
Q75N03,E3 ubiquitin-protein ligase Hakai OS=Homo sapiens GN=CBLL1 PE=1 SV=1,CBLL1,4,8,491,54.484,8.29,4,0.993,1.039,0.928,0.813,0.598,0.494,0.343,0.277,0.267,0.211
Q75QN2,Integrator complex subunit 8 OS=Homo sapiens GN=INTS8 PE=1 SV=1,INTS8,1,2,995,113.016,7.05,1,0.993,0.889,0.779,0.546,0.303,0.160,0.065,0.063,0.042,0.050
Q765P7,MTSS1-like protein OS=Homo sapiens GN=MTSS1L PE=1 SV=1,MTSS1L,4,8,747,79.88,7.47,3,0.993,1.145,1.132,1.030,0.769,0.818,0.291,0.209,0.176,0.103
Q7KZ85,Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H PE=1 SV=2,SUPT6H,19,46,1726,198.949,4.91,23,0.993,1.038,1.002,0.858,0.437,0.314,0.178,0.132,0.078,0.085
Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,SND1,33,102,910,101.934,7.17,34,0.993,0.945,0.789,0.520,0.327,0.219,0.123,0.089,0.075,0.068
Q7KZI7,Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2 PE=1 SV=2,MARK2,13,29,788,87.856,9.72,9,0.993,0.906,0.827,0.474,0.199,0.102,0.057,0.039,0.036,0.047
Q7L014,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=2,DDX46,27,80,1031,117.29,9.29,25,0.993,0.944,0.978,0.688,0.335,0.169,0.134,0.062,0.071,0.067
Q7L0Y3,Mitochondrial ribonuclease P protein 1 OS=Homo sapiens GN=TRMT10C PE=1 SV=2,TRMT10C,21,88,403,47.317,9.36,36,0.993,0.950,0.931,0.814,0.446,0.178,0.084,0.044,0.046,0.049
Q7L1Q6,Isoform 3 of Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1,BZW1,21,202,451,51.249,6.62,47,0.993,0.953,0.880,0.581,0.311,0.199,0.095,0.061,0.044,0.040
Q7L1T6,Cytochrome b5 reductase 4 OS=Homo sapiens GN=CYB5R4 PE=1 SV=1,CYB5R4,6,12,521,59.436,7.72,4,0.993,1.050,0.912,0.778,0.596,0.401,0.256,0.171,0.109,0.122
Q7L1V2,Vacuolar fusion protein MON1 homolog B OS=Homo sapiens GN=MON1B PE=1 SV=1,MON1B,3,6,547,59.18,6.29,2,0.993,1.179,0.940,0.818,0.628,0.510,0.296,0.142,0.066,0.067
Q7L266,Isoaspartyl peptidase/L-asparaginase OS=Homo sapiens GN=ASRGL1 PE=1 SV=2,ASRGL1,4,6,308,32.034,6.24,4,0.993,0.977,0.903,0.855,0.733,0.550,0.439,0.308,0.228,0.171
Q7L273,BTB/POZ domain-containing protein KCTD9 OS=Homo sapiens GN=KCTD9 PE=2 SV=1,KCTD9,10,23,389,42.54,6.37,11,0.993,0.947,0.916,0.874,0.768,0.523,0.230,0.153,0.092,0.101
Q7L2H7,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1,EIF3M,12,33,374,42.476,5.63,12,0.993,0.996,0.917,0.580,0.272,0.126,0.072,0.044,0.043,0.038
Q7L2J0,7SK snRNA methylphosphate capping enzyme OS=Homo sapiens GN=MEPCE PE=1 SV=1,MEPCE,13,29,689,74.31,9.57,12,0.993,0.956,0.875,0.656,0.352,0.185,0.140,0.088,0.104,0.070
Q7L3T8,"Probable proline--tRNA ligase, mitochondrial OS=Homo sapiens GN=PARS2 PE=1 SV=1",PARS2,3,6,475,53.228,8.1,3,0.993,1.039,0.911,0.880,0.758,0.562,0.437,0.304,0.176,0.096
Q7L4I2,Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens GN=RSRC2 PE=1 SV=1,RSRC2,4,8,434,50.529,11.33,3,0.993,0.964,0.876,0.913,0.798,0.570,0.500,0.441,0.294,0.224
Q7L576,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens GN=CYFIP1 PE=1 SV=1,CYFIP1,29,92,1253,145.089,6.9,32,0.993,0.975,0.967,0.840,0.618,0.370,0.182,0.131,0.101,0.061
Q7L592,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 OS=Homo sapiens GN=NDUFAF7 PE=1 SV=1",NDUFAF7,5,10,441,49.206,8.34,3,0.993,1.030,0.858,0.690,0.483,0.342,0.237,0.147,0.087,0.057
Q7L5D6,Golgi to ER traffic protein 4 homolog OS=Homo sapiens GN=GET4 PE=1 SV=1,GET4,11,31,327,36.481,5.41,15,0.993,1.009,0.897,0.764,0.440,0.248,0.133,0.103,0.083,0.082
Q7L5N1,COP9 signalosome complex subunit 6 OS=Homo sapiens GN=COPS6 PE=1 SV=1,COPS6,10,42,327,36.14,5.73,17,0.993,0.962,0.928,0.899,0.851,0.576,0.465,0.190,0.098,0.078
Q7L7X3,Serine/threonine-protein kinase TAO1 OS=Homo sapiens GN=TAOK1 PE=1 SV=1,TAOK1,11,21,1001,115.997,7.65,7,0.993,1.005,1.010,0.856,0.620,0.305,0.152,0.142,0.088,0.083
Q7L8J4,SH3 domain-binding protein 5-like OS=Homo sapiens GN=SH3BP5L PE=1 SV=1,SH3BP5L,5,9,393,43.473,5.77,4,0.993,0.970,0.951,0.876,0.644,0.452,0.350,0.231,0.188,0.180
Q7L8L6,FAST kinase domain-containing protein 5 OS=Homo sapiens GN=FASTKD5 PE=1 SV=1,FASTKD5,9,19,764,86.519,8.13,6,0.993,0.946,0.863,0.474,0.229,0.149,0.079,0.068,0.048,0.051
Q7L8W6,ATP-binding domain-containing protein 4 OS=Homo sapiens GN=ATPBD4 PE=1 SV=3,ATPBD4,3,10,267,30.287,5.4,4,0.993,0.963,0.916,0.743,0.531,0.360,0.249,0.138,0.109,0.083
Q7L9L4,Isoform 2 of MOB kinase activator 1B OS=Homo sapiens GN=MOB1B,MOB1B,8,35,221,25.483,6.15,14,0.993,0.946,0.974,0.906,0.798,0.511,0.361,0.124,0.073,0.058
Q7LBC6,Lysine-specific demethylase 3B OS=Homo sapiens GN=KDM3B PE=1 SV=2,KDM3B,19,42,1761,191.461,7.18,12,0.993,0.985,0.945,0.688,0.341,0.180,0.147,0.113,0.095,0.078
Q7LBR1,Charged multivesicular body protein 1b OS=Homo sapiens GN=CHMP1B PE=1 SV=1,CHMP1B,2,6,199,22.095,8.1,3,0.993,0.963,0.918,0.905,0.693,0.349,0.145,0.080,0.064,0.052
Q7LG56,Ribonucleoside-diphosphate reductase subunit M2 B OS=Homo sapiens GN=RRM2B PE=1 SV=1,RRM2B,13,39,351,40.71,4.97,7,0.993,1.033,0.921,0.894,0.781,0.554,0.538,0.498,0.410,0.344
Q7RTP6,Protein-methionine sulfoxide oxidase MICAL3 OS=Homo sapiens GN=MICAL3 PE=1 SV=2,MICAL3,11,26,2002,224.156,5.55,10,0.993,0.978,0.898,0.811,0.594,0.376,0.258,0.181,0.151,0.093
Q7RTU9,Stereocilin OS=Homo sapiens GN=STRC PE=2 SV=1,STRC,1,3,1775,192.844,5.41,1,0.993,0.950,0.838,0.850,0.736,0.559,0.302,0.092,0.098,0.066
Q7RTV0,PHD finger-like domain-containing protein 5A OS=Homo sapiens GN=PHF5A PE=1 SV=1,PHF5A,8,44,110,12.397,8.41,18,0.993,0.977,1.038,1.051,1.067,0.762,0.807,0.637,0.495,0.473
Q7Z2K8,G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens GN=GPRIN1 PE=2 SV=2,GPRIN1,27,58,1008,102.336,8.06,24,0.993,0.975,0.915,0.860,0.795,0.675,0.589,0.487,0.389,0.241
Q7Z2T5,TRMT1-like protein OS=Homo sapiens GN=TRMT1L PE=1 SV=2,TRMT1L,18,47,733,81.695,7.88,20,0.993,0.992,0.924,0.800,0.572,0.310,0.168,0.113,0.087,0.066
Q7Z2W4,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3,ZC3HAV1,13,37,902,101.367,8.4,11,0.993,0.949,0.871,0.590,0.272,0.236,0.122,0.117,0.072,0.065
Q7Z2W9,"39S ribosomal protein L21, mitochondrial OS=Homo sapiens GN=MRPL21 PE=1 SV=2",MRPL21,1,2,205,22.8,9.89,1,0.993,0.948,0.973,0.818,0.663,0.433,0.304,0.209,0.129,0.093
Q7Z2Z2,Elongation factor Tu GTP-binding domain-containing protein 1 OS=Homo sapiens GN=EFTUD1 PE=1 SV=2,EFTUD1,7,14,1120,125.35,5.91,5,0.993,0.997,0.972,0.807,0.471,0.265,0.166,0.097,0.070,0.062
Q7Z309,Isoform 3 of Protein FAM122B OS=Homo sapiens GN=FAM122B,FAM122B,2,5,266,29.081,8.16,2,0.993,0.717,1.304,1.102,1.278,0.770,1.076,0.600,0.786,0.496
Q7Z392,Trafficking protein particle complex subunit 11 OS=Homo sapiens GN=TRAPPC11 PE=1 SV=2,TRAPPC11,4,8,1133,128.798,7.14,4,0.993,1.033,0.963,0.732,0.399,0.282,0.149,0.112,0.063,0.084
Q7Z3B4,Nucleoporin p54 OS=Homo sapiens GN=NUP54 PE=1 SV=2,NUP54,7,16,507,55.401,7.02,7,0.993,1.042,0.931,0.756,0.365,0.194,0.115,0.079,0.056,0.051
Q7Z3C6,Autophagy-related protein 9A OS=Homo sapiens GN=ATG9A PE=1 SV=3,ATG9A,2,3,839,94.387,6.67,2,0.993,1.034,0.991,0.595,0.415,0.272,0.176,0.148,0.129,0.114
Q7Z3K3,Pogo transposable element with ZNF domain OS=Homo sapiens GN=POGZ PE=1 SV=2,POGZ,3,6,1410,155.245,7.4,3,0.993,0.862,0.762,0.484,0.344,0.207,0.154,0.067,0.072,0.075
Q7Z3S7,Isoform 5 of Voltage-dependent calcium channel subunit alpha-2/delta-4 OS=Homo sapiens GN=CACNA2D4,CACNA2D4,1,5,1154,129.854,5.48,3,0.993,1.002,0.914,0.873,0.697,0.597,0.586,0.484,0.323,0.220
Q7Z3T8,Zinc finger FYVE domain-containing protein 16 OS=Homo sapiens GN=ZFYVE16 PE=1 SV=3,ZFYVE16,8,14,1539,168.797,4.82,5,0.993,0.936,0.965,0.936,0.807,0.606,0.393,0.290,0.239,0.154
Q7Z3U7,Protein MON2 homolog OS=Homo sapiens GN=MON2 PE=1 SV=2,MON2,8,20,1718,190.365,6.1,9,0.993,0.986,0.927,0.774,0.473,0.307,0.202,0.144,0.143,0.089
Q7Z401,Isoform 2 of C-myc promoter-binding protein OS=Homo sapiens GN=DENND4A,DENND4A,5,12,1906,213.568,7.09,6,0.993,0.933,0.851,0.584,0.258,0.102,0.086,0.040,0.040,0.046
Q7Z417,Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1,NUFIP2,25,81,695,76.075,8.7,31,0.993,0.976,0.966,0.884,0.802,0.596,0.532,0.312,0.215,0.146
Q7Z422,SUZ domain-containing protein 1 OS=Homo sapiens GN=SZRD1 PE=1 SV=1,SZRD1,4,8,152,16.987,8.95,4,0.993,1.064,0.975,0.926,0.804,0.699,0.622,0.572,0.416,0.389
Q7Z434,Mitochondrial antiviral-signaling protein OS=Homo sapiens GN=MAVS PE=1 SV=2,MAVS,8,38,540,56.493,5.52,19,0.993,0.990,1.023,0.987,0.942,0.696,0.680,0.531,0.344,0.194
Q7Z460,CLIP-associating protein 1 OS=Homo sapiens GN=CLASP1 PE=1 SV=1,CLASP1,25,56,1538,169.346,9.03,20,0.993,0.964,0.805,0.508,0.336,0.176,0.130,0.096,0.100,0.080
