Accession,Description,GeneName,Peptides.MTX,PSMs.MTX,AAs.MTX,MW.kDA.MTX,pI.MTX,QuantifyingPSMs.MTX,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2,PRPF8,57,158,2335,273.427,8.84,59,0.996,1.083,1.046,0.972,0.665,0.414,0.221,0.138,0.110,0.087
Q6P3S6,F-box only protein 42 OS=Homo sapiens GN=FBXO42 PE=1 SV=1,FBXO42,2,4,717,77.789,7.43,2,0.996,1.097,0.963,0.965,0.897,0.820,0.426,0.302,0.205,0.128
Q6P3W7,SCY1-like protein 2 OS=Homo sapiens GN=SCYL2 PE=1 SV=1,SCYL2,16,47,929,103.642,8.22,17,0.996,1.055,1.034,1.000,0.915,0.556,0.209,0.126,0.092,0.075
Q6P3X3,Tetratricopeptide repeat protein 27 OS=Homo sapiens GN=TTC27 PE=1 SV=1,TTC27,15,43,843,96.571,5.59,15,0.996,1.016,0.890,0.624,0.444,0.307,0.239,0.167,0.120,0.113
Q6P4A8,Phospholipase B-like 1 OS=Homo sapiens GN=PLBD1 PE=1 SV=2,PLBD1,5,14,553,63.214,9.06,7,0.996,1.067,0.989,0.897,0.755,0.622,0.536,0.412,0.332,0.310
Q6P4I2,WD repeat-containing protein 73 OS=Homo sapiens GN=WDR73 PE=1 SV=1,WDR73,11,28,378,41.659,5.78,8,0.996,0.878,1.033,1.023,0.949,0.612,0.528,0.323,0.194,0.115
Q6P4R8,Isoform 2 of Nuclear factor related to kappa-B-binding protein OS=Homo sapiens GN=NFRKB,NFRKB,5,10,1324,141.773,9.03,5,0.996,0.923,0.799,0.471,0.370,0.258,0.193,0.149,0.104,0.078
Q6P6C2,RNA demethylase ALKBH5 OS=Homo sapiens GN=ALKBH5 PE=1 SV=2,ALKBH5,4,12,394,44.229,9.09,4,0.996,0.968,0.924,0.732,0.648,0.581,0.387,0.339,0.179,0.185
Q6P9B6,TLD domain-containing protein KIAA1609 OS=Homo sapiens GN=KIAA1609 PE=1 SV=2,KIAA1609,2,4,456,50.961,6.24,2,0.996,0.928,0.950,0.897,0.620,0.361,0.146,0.095,0.084,0.083
Q6PCB5,Round spermatid basic protein 1-like protein OS=Homo sapiens GN=RSBN1L PE=1 SV=2,RSBN1L,3,8,846,94.81,8.78,3,0.996,1.032,1.099,0.954,0.765,0.572,0.289,0.257,0.138,0.103
Q6PCT2,F-box/LRR-repeat protein 19 OS=Homo sapiens GN=FBXL19 PE=1 SV=3,FBXL19,3,8,694,75.659,9.17,4,0.996,0.994,0.868,0.660,0.565,0.413,0.338,0.272,0.203,0.189
Q6PD62,RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens GN=CTR9 PE=1 SV=1,CTR9,16,42,1173,133.42,6.77,20,0.996,0.991,0.846,0.496,0.303,0.253,0.128,0.091,0.081,0.072
Q6PD74,Alpha- and gamma-adaptin-binding protein p34 OS=Homo sapiens GN=AAGAB PE=1 SV=1,AAGAB,4,9,315,34.572,4.64,3,0.996,0.914,0.867,0.686,0.487,0.331,0.212,0.160,0.138,0.108
Q6PH81,UPF0547 protein C16orf87 OS=Homo sapiens GN=C16orf87 PE=2 SV=1,C16orf87,1,2,154,17.788,10.07,1,0.996,0.912,0.772,0.654,0.562,0.329,0.312,0.160,0.153,0.135
Q6PI48,"Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens GN=DARS2 PE=1 SV=1",DARS2,25,86,645,73.516,8.02,27,0.996,0.950,0.963,0.932,0.961,0.770,0.752,0.575,0.371,0.210
Q6PID6,Tetratricopeptide repeat protein 33 OS=Homo sapiens GN=TTC33 PE=1 SV=2,TTC33,4,9,262,29.393,5.44,4,0.996,1.041,0.908,0.782,0.657,0.526,0.310,0.224,0.129,0.120
Q6PIJ6,F-box only protein 38 OS=Homo sapiens GN=FBXO38 PE=1 SV=3,FBXO38,1,2,1188,133.858,6.33,1,0.996,0.925,0.906,0.783,0.580,0.412,0.196,0.205,0.180,0.285
Q6PJ69,Tripartite motif-containing protein 65 OS=Homo sapiens GN=TRIM65 PE=1 SV=3,TRIM65,5,11,517,57.317,6.7,5,0.996,0.975,0.924,0.658,0.482,0.372,0.247,0.154,0.142,0.131
Q6PJG6,BRCA1-associated ATM activator 1 OS=Homo sapiens GN=BRAT1 PE=1 SV=2,BRAT1,13,48,821,88.063,5.27,11,0.996,0.941,0.707,0.572,0.425,0.309,0.178,0.134,0.090,0.059
Q6PJI9,WD repeat-containing protein 59 OS=Homo sapiens GN=WDR59 PE=1 SV=2,WDR59,3,6,974,109.724,7.91,2,0.996,1.000,0.939,0.926,0.814,0.645,0.534,0.503,0.400,0.337
Q6PJT7,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens GN=ZC3H14 PE=1 SV=1,ZC3H14,12,26,736,82.823,7.31,11,0.996,1.085,0.998,0.892,0.718,0.526,0.455,0.328,0.208,0.159
Q6PKC0,GMP reductase OS=Homo sapiens GN=GMPR2 PE=2 SV=1,GMPR2,16,56,409,44.979,8.34,17,0.996,0.963,0.968,0.953,0.900,0.689,0.692,0.523,0.479,0.477
Q6PKG0,La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2,LARP1,31,87,1096,123.434,8.82,34,0.996,1.042,1.061,1.002,0.798,0.538,0.280,0.183,0.124,0.104
Q6PL24,Protein TMED8 OS=Homo sapiens GN=TMED8 PE=1 SV=1,TMED8,1,4,325,35.718,4.74,1,0.996,0.939,0.901,0.749,0.435,0.220,0.102,0.084,0.079,0.083
Q6QNY0,Biogenesis of lysosome-related organelles complex 1 subunit 3 OS=Homo sapiens GN=BLOC1S3 PE=1 SV=1,BLOC1S3,7,18,202,21.243,5.15,6,0.996,1.006,0.911,0.951,0.842,0.714,0.539,0.379,0.250,0.210
Q6QNY1,Biogenesis of lysosome-related organelles complex 1 subunit 2 OS=Homo sapiens GN=BLOC1S2 PE=1 SV=1,BLOC1S2,9,26,142,15.951,4.86,10,0.996,1.014,0.902,0.996,0.926,0.713,0.585,0.337,0.178,0.131
Q6RFH5,WD repeat-containing protein 74 OS=Homo sapiens GN=WDR74 PE=1 SV=1,WDR74,1,2,385,42.415,8.32,1,0.996,1.203,0.997,1.037,0.910,0.829,0.517,0.318,0.333,0.243
Q6UB28,"Methionine aminopeptidase 1D, mitochondrial OS=Homo sapiens GN=METAP1D PE=1 SV=1",METAP1D,2,6,335,37.065,6.84,3,0.996,0.943,0.936,0.932,0.758,0.609,0.386,0.228,0.141,0.110
Q6UB35,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1",MTHFD1L,29,79,978,105.724,8.06,26,0.996,0.959,0.922,0.873,0.705,0.375,0.150,0.100,0.082,0.075
Q6ULP2,Aftiphilin OS=Homo sapiens GN=AFTPH PE=1 SV=2,AFTPH,7,18,937,102.137,4.54,5,0.996,1.020,0.979,0.879,0.682,0.454,0.281,0.225,0.171,0.117
Q6UN15,Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens GN=FIP1L1 PE=1 SV=1,FIP1L1,10,41,594,66.487,5.59,20,0.996,1.008,0.861,0.628,0.493,0.368,0.360,0.321,0.283,0.300
Q6UVJ0,Spindle assembly abnormal protein 6 homolog OS=Homo sapiens GN=SASS6 PE=1 SV=1,SASS6,12,34,657,74.351,7.55,13,0.996,1.014,0.900,0.572,0.376,0.220,0.148,0.089,0.071,0.059
Q6UW63,KDEL motif-containing protein 1 OS=Homo sapiens GN=KDELC1 PE=1 SV=1,KDELC1,2,4,502,58.005,7.71,1,0.996,0.810,0.831,0.759,0.537,0.392,0.338,0.289,0.239,0.234
Q6UWE0,E3 ubiquitin-protein ligase LRSAM1 OS=Homo sapiens GN=LRSAM1 PE=1 SV=1,LRSAM1,15,30,723,83.541,5.94,11,0.996,1.015,0.982,0.908,0.712,0.406,0.244,0.167,0.130,0.090
Q6UWP2,Dehydrogenase/reductase SDR family member 11 OS=Homo sapiens GN=DHRS11 PE=1 SV=1,DHRS11,13,54,260,28.29,6.64,25,0.996,0.914,0.912,0.946,0.816,0.588,0.304,0.124,0.093,0.069
Q6UWZ7,BRCA1-A complex subunit Abraxas OS=Homo sapiens GN=FAM175A PE=1 SV=2,FAM175A,2,4,409,46.633,7.05,2,0.996,1.009,0.905,0.788,0.805,0.626,0.556,0.464,0.350,0.138
Q6UXH1,Isoform 5 of Cysteine-rich with EGF-like domain protein 2 OS=Homo sapiens GN=CRELD2,CRELD2,4,16,402,43.549,4.79,8,0.996,0.916,0.913,0.850,0.789,0.667,0.587,0.476,0.377,0.419
Q6UXK2,Immunoglobulin superfamily containing leucine-rich repeat protein 2 OS=Homo sapiens GN=ISLR2 PE=2 SV=1,ISLR2,2,6,745,78.941,5.29,3,0.996,0.983,0.972,0.867,0.816,0.686,0.606,0.502,0.376,0.315
Q6UXN9,WD repeat-containing protein 82 OS=Homo sapiens GN=WDR82 PE=1 SV=1,WDR82,11,55,313,35.056,7.69,22,0.996,0.901,0.931,0.850,0.797,0.549,0.433,0.227,0.145,0.104
Q6VY07,Isoform 2 of Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens GN=PACS1,PACS1,10,29,1008,109.274,7.36,11,0.996,1.000,0.908,0.857,0.698,0.519,0.290,0.161,0.124,0.079
Q6W2J9,BCL-6 corepressor OS=Homo sapiens GN=BCOR PE=1 SV=1,BCOR,1,2,1755,192.069,6.48,1,0.996,0.983,0.888,0.347,0.402,0.335,0.255,0.210,0.122,0.135
Q6WKZ4,Rab11 family-interacting protein 1 OS=Homo sapiens GN=RAB11FIP1 PE=1 SV=3,RAB11FIP1,17,42,1283,137.083,5.43,16,0.996,1.007,1.022,0.959,0.834,0.527,0.376,0.233,0.160,0.097
Q6XQN6,Nicotinate phosphoribosyltransferase OS=Homo sapiens GN=NAPRT1 PE=1 SV=2,NAPRT1,12,34,538,57.542,5.68,9,0.996,0.997,0.930,0.951,0.824,0.785,0.678,0.580,0.495,0.389
Q6XUX3,Dual serine/threonine and tyrosine protein kinase OS=Homo sapiens GN=DSTYK PE=1 SV=2,DSTYK,2,4,929,105.139,6.74,2,0.996,0.985,0.948,0.768,0.597,0.451,0.376,0.240,0.160,0.093
Q6Y1H2,Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 2 OS=Homo sapiens GN=PTPLB PE=1 SV=1,PTPLB,2,2,254,28.35,9.55,2,0.996,0.887,0.952,0.796,0.562,0.295,0.146,0.110,0.089,0.070
Q6Y7W6,PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1,GIGYF2,21,77,1299,149.978,5.54,37,0.996,1.076,0.981,0.774,0.533,0.358,0.214,0.125,0.107,0.102
Q6YHU6,Thyroid adenoma-associated protein OS=Homo sapiens GN=THADA PE=1 SV=1,THADA,12,28,1953,219.465,6.06,11,0.996,1.032,0.958,0.858,0.666,0.431,0.213,0.132,0.108,0.091
Q6YN16,Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens GN=HSDL2 PE=1 SV=1,HSDL2,8,16,418,45.366,7.99,8,0.996,0.956,0.913,0.847,0.549,0.278,0.148,0.087,0.077,0.061
Q6YP21,Kynurenine--oxoglutarate transaminase 3 OS=Homo sapiens GN=CCBL2 PE=1 SV=1,CCBL2,26,108,454,51.368,8.19,31,0.996,0.942,0.994,0.962,0.932,0.742,0.735,0.678,0.510,0.431
Q6ZN04,RNA-binding protein MEX3B OS=Homo sapiens GN=MEX3B PE=1 SV=1,MEX3B,1,2,569,58.796,6.9,1,0.996,1.057,0.868,0.795,0.715,0.580,0.388,0.202,0.107,0.117
Q6ZN17,Protein lin-28 homolog B OS=Homo sapiens GN=LIN28B PE=1 SV=1,LIN28B,13,59,250,27.066,8.91,26,0.996,0.979,0.941,0.885,0.660,0.481,0.377,0.257,0.171,0.164
Q6ZN55,Isoform 2 of Zinc finger protein 574 OS=Homo sapiens GN=ZNF574,ZNF574,4,10,985,108.504,8.41,5,0.996,0.953,0.767,0.533,0.391,0.270,0.181,0.118,0.099,0.090
Q6ZR64,HBV PreS1-transactivated protein 1 OS=Homo sapiens GN=MXRA7 PE=2 SV=1,MXRA7,4,8,213,23.397,6.52,4,0.996,1.006,0.910,0.832,0.772,0.641,0.468,0.433,0.399,0.311
Q6ZRS2,Helicase SRCAP OS=Homo sapiens GN=SRCAP PE=1 SV=3,SRCAP,3,5,3230,343.343,5.96,2,0.996,1.021,0.939,0.668,0.553,0.412,0.250,0.157,0.120,0.105
Q6ZRV2,Protein FAM83H OS=Homo sapiens GN=FAM83H PE=1 SV=3,FAM83H,2,4,1179,127.044,6.98,2,0.996,1.023,0.837,0.698,0.599,0.430,0.285,0.217,0.171,0.148
Q6ZSJ8,Uncharacterized protein C1orf122 OS=Homo sapiens GN=C1orf122 PE=2 SV=2,C1orf122,4,8,110,11.464,6.73,3,0.996,0.947,1.159,1.005,0.892,0.652,0.462,0.366,0.270,0.205
Q6ZSS3,Zinc finger protein 621 OS=Homo sapiens GN=ZNF621 PE=2 SV=1,ZNF621,1,2,439,49.173,8.94,1,0.996,0.537,0.426,0.394,0.427,0.387,0.309,0.484,0.369,0.167
Q6ZSZ5,Rho guanine nucleotide exchange factor 18 OS=Homo sapiens GN=ARHGEF18 PE=1 SV=3,ARHGEF18,3,6,1173,130.7,7.08,3,0.996,0.961,0.909,0.750,0.605,0.489,0.314,0.276,0.158,0.119
Q6ZT12,Isoform 4 of E3 ubiquitin-protein ligase UBR3 OS=Homo sapiens GN=UBR3,UBR3,5,14,1917,215.831,6.2,7,0.996,0.887,0.821,0.547,0.312,0.164,0.126,0.068,0.080,0.068
Q6ZT62,SH3 domain-binding protein 1 OS=Homo sapiens GN=SH3BP1 PE=2 SV=1,SH3BP1,11,19,605,66.138,5.16,14,0.996,1.017,1.047,1.000,0.830,0.597,0.401,0.271,0.163,0.155
Q6ZW49,PAX-interacting protein 1 OS=Homo sapiens GN=PAXIP1 PE=1 SV=2,PAXIP1,5,10,1069,121.265,6.7,5,0.996,1.029,0.928,0.764,0.617,0.476,0.290,0.150,0.118,0.107
Q6ZWJ1,Syntaxin-binding protein 4 OS=Homo sapiens GN=STXBP4 PE=1 SV=2,STXBP4,1,2,553,61.623,5.2,1,0.996,0.985,0.760,0.596,0.368,0.218,0.154,0.116,0.093,0.094
Q6ZWT7,Lysophospholipid acyltransferase 2 OS=Homo sapiens GN=MBOAT2 PE=2 SV=2,MBOAT2,2,8,520,59.488,8.03,3,0.996,0.899,1.117,0.837,0.685,0.457,0.345,0.280,0.235,0.157
Q709C8,Vacuolar protein sorting-associated protein 13C OS=Homo sapiens GN=VPS13C PE=1 SV=1,VPS13C,15,32,3753,422.124,6.83,16,0.996,1.075,1.044,0.915,0.811,0.614,0.311,0.195,0.144,0.104
Q70CQ2,Ubiquitin carboxyl-terminal hydrolase 34 OS=Homo sapiens GN=USP34 PE=1 SV=2,USP34,7,14,3546,403.973,5.82,7,0.996,0.910,0.901,0.711,0.447,0.244,0.182,0.110,0.110,0.105
Q70J99,Isoform 3 of Protein unc-13 homolog D OS=Homo sapiens GN=UNC13D,UNC13D,19,43,1142,128.739,6.62,19,0.996,1.025,0.878,0.633,0.498,0.291,0.189,0.141,0.121,0.092
Q70Z53,Protein FRA10AC1 OS=Homo sapiens GN=FRA10AC1 PE=1 SV=3,FRA10AC1,2,4,315,37.525,8.1,2,0.996,1.027,0.861,0.649,0.359,0.232,0.152,0.113,0.108,0.090
Q711Q0,Uncharacterized protein C10orf71 OS=Homo sapiens GN=C10orf71 PE=2 SV=2,C10orf71,1,2,1435,156.38,6.38,1,0.996,0.995,0.911,0.884,0.736,0.545,0.498,0.392,0.299,0.194
Q71RC2,Isoform 4 of La-related protein 4 OS=Homo sapiens GN=LARP4,LARP4,9,20,730,81.193,6.61,7,0.996,1.092,1.099,0.810,0.519,0.430,0.230,0.172,0.122,0.118
Q71SY5,Isoform 3 of Mediator of RNA polymerase II transcription subunit 25 OS=Homo sapiens GN=MED25,MED25,3,6,796,82.92,8.84,3,0.996,0.940,0.912,0.710,0.526,0.347,0.250,0.124,0.116,0.097
Q71U36,Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1,TUBA1A,28,1207,451,50.104,5.06,190,0.996,0.998,1.006,0.993,0.885,0.716,0.567,0.362,0.163,0.080
Q75N03,E3 ubiquitin-protein ligase Hakai OS=Homo sapiens GN=CBLL1 PE=1 SV=1,CBLL1,5,10,491,54.484,8.29,3,0.996,1.002,0.965,0.806,0.500,0.460,0.328,0.268,0.224,0.155
Q75QN2,Integrator complex subunit 8 OS=Homo sapiens GN=INTS8 PE=1 SV=1,INTS8,4,8,995,113.016,7.05,3,0.996,1.019,0.857,0.612,0.443,0.298,0.184,0.110,0.092,0.092
Q765P7,MTSS1-like protein OS=Homo sapiens GN=MTSS1L PE=1 SV=1,MTSS1L,8,17,747,79.88,7.47,8,0.996,0.999,1.122,0.928,0.844,0.680,0.466,0.254,0.185,0.129
Q7KZ85,Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H PE=1 SV=2,SUPT6H,19,49,1726,198.949,4.91,20,0.996,1.032,0.961,0.754,0.405,0.293,0.183,0.108,0.079,0.075
Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,SND1,44,155,910,101.934,7.17,53,0.996,0.999,0.882,0.558,0.373,0.232,0.159,0.114,0.095,0.089
Q7KZI7,Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2 PE=1 SV=2,MARK2,24,61,788,87.856,9.72,18,0.996,0.923,0.852,0.611,0.320,0.202,0.142,0.072,0.075,0.062
Q7L014,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=2,DDX46,39,111,1031,117.29,9.29,41,0.996,0.998,0.948,0.639,0.306,0.211,0.139,0.089,0.078,0.075
Q7L0Y3,Mitochondrial ribonuclease P protein 1 OS=Homo sapiens GN=TRMT10C PE=1 SV=2,TRMT10C,17,56,403,47.317,9.36,24,0.996,0.973,0.953,0.907,0.690,0.306,0.129,0.077,0.081,0.075
Q7L1Q6,Isoform 3 of Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1,BZW1,19,170,451,51.249,6.62,43,0.996,0.946,0.952,0.745,0.390,0.282,0.171,0.098,0.079,0.080
Q7L1T6,Cytochrome b5 reductase 4 OS=Homo sapiens GN=CYB5R4 PE=1 SV=1,CYB5R4,3,6,521,59.436,7.72,3,0.996,0.908,0.880,0.712,0.427,0.282,0.164,0.112,0.093,0.099
Q7L1V2,Vacuolar fusion protein MON1 homolog B OS=Homo sapiens GN=MON1B PE=1 SV=1,MON1B,6,11,547,59.18,6.29,3,0.996,0.957,0.987,0.925,0.685,0.430,0.331,0.195,0.103,0.112
Q7L266,Isoaspartyl peptidase/L-asparaginase OS=Homo sapiens GN=ASRGL1 PE=1 SV=2,ASRGL1,9,22,308,32.034,6.24,13,0.996,0.942,1.023,0.967,0.831,0.622,0.478,0.330,0.252,0.240
Q7L273,BTB/POZ domain-containing protein KCTD9 OS=Homo sapiens GN=KCTD9 PE=2 SV=1,KCTD9,10,19,389,42.54,6.37,7,0.996,1.102,1.048,1.061,0.897,0.606,0.306,0.187,0.134,0.119
Q7L2H7,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1,EIF3M,12,35,374,42.476,5.63,13,0.996,0.993,0.921,0.740,0.426,0.260,0.155,0.076,0.077,0.058
Q7L2J0,7SK snRNA methylphosphate capping enzyme OS=Homo sapiens GN=MEPCE PE=1 SV=1,MEPCE,17,65,689,74.31,9.57,26,0.996,0.975,0.814,0.700,0.449,0.275,0.174,0.104,0.090,0.083
Q7L3T8,"Probable proline--tRNA ligase, mitochondrial OS=Homo sapiens GN=PARS2 PE=1 SV=1",PARS2,2,6,475,53.228,8.1,3,0.996,0.979,1.047,0.927,0.881,0.649,0.549,0.359,0.134,0.068
Q7L4I2,Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens GN=RSRC2 PE=1 SV=1,RSRC2,6,12,434,50.529,11.33,6,0.996,1.052,0.956,0.988,0.843,0.669,0.529,0.418,0.285,0.210
Q7L576,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens GN=CYFIP1 PE=1 SV=1,CYFIP1,50,171,1253,145.089,6.9,54,0.996,0.980,0.966,0.920,0.746,0.464,0.198,0.142,0.104,0.081
Q7L592,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 OS=Homo sapiens GN=NDUFAF7 PE=1 SV=1",NDUFAF7,2,4,441,49.206,8.34,2,0.996,0.956,0.821,0.599,0.380,0.276,0.230,0.169,0.129,0.092
Q7L5D6,Golgi to ER traffic protein 4 homolog OS=Homo sapiens GN=GET4 PE=1 SV=1,GET4,14,55,327,36.481,5.41,24,0.996,1.000,0.936,0.818,0.579,0.378,0.217,0.116,0.090,0.082
Q7L5N1,COP9 signalosome complex subunit 6 OS=Homo sapiens GN=COPS6 PE=1 SV=1,COPS6,12,44,327,36.14,5.73,20,0.996,0.966,0.984,0.976,0.902,0.730,0.527,0.194,0.113,0.076
Q7L7X3,Serine/threonine-protein kinase TAO1 OS=Homo sapiens GN=TAOK1 PE=1 SV=1,TAOK1,7,20,1001,115.997,7.65,4,0.996,1.021,1.004,0.914,0.739,0.346,0.111,0.131,0.087,0.090
Q7L8J4,SH3 domain-binding protein 5-like OS=Homo sapiens GN=SH3BP5L PE=1 SV=1,SH3BP5L,8,16,393,43.473,5.77,5,0.996,0.966,0.953,0.865,0.701,0.443,0.297,0.213,0.141,0.134
Q7L8L6,FAST kinase domain-containing protein 5 OS=Homo sapiens GN=FASTKD5 PE=1 SV=1,FASTKD5,4,8,764,86.519,8.13,4,0.996,0.964,0.817,0.404,0.238,0.165,0.128,0.075,0.088,0.074
Q7L8W6,ATP-binding domain-containing protein 4 OS=Homo sapiens GN=ATPBD4 PE=1 SV=3,ATPBD4,3,6,267,30.287,5.4,3,0.996,1.012,0.972,0.777,0.505,0.295,0.178,0.124,0.073,0.066
Q7L9L4,Isoform 2 of MOB kinase activator 1B OS=Homo sapiens GN=MOB1B,MOB1B,8,68,221,25.483,6.15,26,0.996,0.987,1.049,1.015,0.900,0.690,0.457,0.183,0.118,0.080
Q7LBC6,Lysine-specific demethylase 3B OS=Homo sapiens GN=KDM3B PE=1 SV=2,KDM3B,22,50,1761,191.461,7.18,17,0.996,0.956,0.959,0.748,0.513,0.323,0.222,0.157,0.122,0.098
Q7LBR1,Charged multivesicular body protein 1b OS=Homo sapiens GN=CHMP1B PE=1 SV=1,CHMP1B,2,4,199,22.095,8.1,2,0.996,0.901,0.996,0.855,0.756,0.539,0.351,0.224,0.199,0.158
Q7LG56,Ribonucleoside-diphosphate reductase subunit M2 B OS=Homo sapiens GN=RRM2B PE=1 SV=1,RRM2B,14,60,351,40.71,4.97,8,0.996,1.057,0.981,0.981,0.866,0.798,0.616,0.528,0.441,0.399
Q7RTP6,Protein-methionine sulfoxide oxidase MICAL3 OS=Homo sapiens GN=MICAL3 PE=1 SV=2,MICAL3,16,33,2002,224.156,5.55,17,0.996,0.978,0.935,0.844,0.671,0.475,0.284,0.203,0.127,0.091
Q7RTU9,Stereocilin OS=Homo sapiens GN=STRC PE=2 SV=1,STRC,3,10,1775,192.844,5.41,5,0.996,0.938,0.925,0.912,0.815,0.539,0.332,0.180,0.134,0.118
Q7RTV0,PHD finger-like domain-containing protein 5A OS=Homo sapiens GN=PHF5A PE=1 SV=1,PHF5A,7,31,110,12.397,8.41,14,0.996,0.938,1.076,1.071,1.107,0.754,0.774,0.628,0.515,0.508
Q7Z2K8,G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens GN=GPRIN1 PE=2 SV=2,GPRIN1,37,89,1008,102.336,8.06,39,0.996,1.014,0.935,0.875,0.842,0.727,0.645,0.541,0.421,0.323
Q7Z2T5,TRMT1-like protein OS=Homo sapiens GN=TRMT1L PE=1 SV=2,TRMT1L,19,48,733,81.695,7.88,23,0.996,0.972,0.986,0.854,0.580,0.302,0.152,0.061,0.059,0.065
Q7Z2W4,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3,ZC3HAV1,12,40,902,101.367,8.4,15,0.996,0.983,0.868,0.695,0.512,0.374,0.235,0.133,0.095,0.097
Q7Z2W9,"39S ribosomal protein L21, mitochondrial OS=Homo sapiens GN=MRPL21 PE=1 SV=2",MRPL21,3,6,205,22.8,9.89,3,0.996,1.066,1.009,0.853,0.712,0.459,0.259,0.176,0.103,0.104
Q7Z2Z2,Elongation factor Tu GTP-binding domain-containing protein 1 OS=Homo sapiens GN=EFTUD1 PE=1 SV=2,EFTUD1,8,15,1120,125.35,5.91,4,0.996,0.974,0.969,0.848,0.519,0.280,0.150,0.094,0.078,0.077
Q7Z309,Isoform 3 of Protein FAM122B OS=Homo sapiens GN=FAM122B,FAM122B,3,6,266,29.081,8.16,3,0.996,1.062,1.042,1.050,0.960,0.721,0.649,0.499,0.364,0.366
Q7Z392,Trafficking protein particle complex subunit 11 OS=Homo sapiens GN=TRAPPC11 PE=1 SV=2,TRAPPC11,7,14,1133,128.798,7.14,7,0.996,1.007,0.923,0.796,0.451,0.318,0.139,0.117,0.100,0.062
Q7Z3B4,Nucleoporin p54 OS=Homo sapiens GN=NUP54 PE=1 SV=2,NUP54,18,43,507,55.401,7.02,19,0.996,1.017,0.982,0.845,0.541,0.352,0.171,0.118,0.088,0.080
Q7Z3C6,Autophagy-related protein 9A OS=Homo sapiens GN=ATG9A PE=1 SV=3,ATG9A,5,10,839,94.387,6.67,5,0.996,1.021,0.939,0.852,0.647,0.496,0.342,0.240,0.151,0.139
Q7Z3K3,Pogo transposable element with ZNF domain OS=Homo sapiens GN=POGZ PE=1 SV=2,POGZ,4,8,1410,155.245,7.4,4,0.996,1.013,0.919,0.630,0.482,0.353,0.253,0.171,0.150,0.105
Q7Z3S7,Isoform 5 of Voltage-dependent calcium channel subunit alpha-2/delta-4 OS=Homo sapiens GN=CACNA2D4,CACNA2D4,1,5,1154,129.854,5.48,2,0.996,1.065,1.188,1.036,0.767,0.601,0.654,0.512,0.365,0.312
Q7Z3T8,Zinc finger FYVE domain-containing protein 16 OS=Homo sapiens GN=ZFYVE16 PE=1 SV=3,ZFYVE16,16,38,1539,168.797,4.82,17,0.996,0.988,1.008,0.945,0.899,0.642,0.505,0.336,0.254,0.167
Q7Z3U7,Protein MON2 homolog OS=Homo sapiens GN=MON2 PE=1 SV=2,MON2,13,28,1718,190.365,6.1,12,0.996,1.015,0.967,0.900,0.627,0.356,0.244,0.147,0.095,0.092
Q7Z401,Isoform 2 of C-myc promoter-binding protein OS=Homo sapiens GN=DENND4A,DENND4A,7,15,1906,213.568,7.09,7,0.996,0.976,0.929,0.777,0.528,0.309,0.180,0.154,0.105,0.091
Q7Z417,Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1,NUFIP2,19,48,695,76.075,8.7,13,0.996,1.013,0.968,0.874,0.845,0.643,0.509,0.330,0.225,0.163
Q7Z422,SUZ domain-containing protein 1 OS=Homo sapiens GN=SZRD1 PE=1 SV=1,SZRD1,3,10,152,16.987,8.95,5,0.996,1.004,0.952,0.981,0.932,0.794,0.816,0.734,0.583,0.552
Q7Z434,Mitochondrial antiviral-signaling protein OS=Homo sapiens GN=MAVS PE=1 SV=2,MAVS,12,51,540,56.493,5.52,24,0.996,0.989,1.042,1.045,1.027,0.835,0.833,0.636,0.432,0.218
